entity_id,name,Type,description,source
E0001,Hyundai,Company,완성차 제조 기업,자동차공급망_편집
E0002,Yanfeng Automotive,Supplier,공급업체,자동차공급망_편집
E0003,LG Electronics,Supplier,공급업체,자동차공급망_편집
E0004,MANN+HUMMEL,Supplier,공급업체,자동차공급망_편집
E0005,Hitachi Astemo,Supplier,공급업체,자동차공급망_편집
E0006,Yunnan Tin,Supplier,공급업체,자동차공급망_편집
E0007,jiangxi copper,Supplier,공급업체,자동차공급망_편집
E0008,LT메탈,Supplier,공급업체,자동차공급망_편집
E0009,metalor,Supplier,공급업체,자동차공급망_편집
E0010,posco china,Supplier,공급업체,자동차공급망_편집
E0011,jilin Ferroalloys,Supplier,공급업체,자동차공급망_편집
E0012,교세라(AVX),Supplier,공급업체,자동차공급망_편집
E0013,KEMET,Supplier,공급업체,자동차공급망_편집
E0014,Ningxia tianyuan Manganese,Supplier,공급업체,자동차공급망_편집
E0015,Xiamen Tungsten,Supplier,공급업체,자동차공급망_편집
E0016,Bosch,Supplier,공급업체,자동차공급망_편집
E0017,ZF,Supplier,공급업체,자동차공급망_편집
E0018,Continental,Supplier,공급업체,자동차공급망_편집
E0019,ThyssenKrupp,Supplier,공급업체,자동차공급망_편집
E0020,Saarstahl,Supplier,공급업체,자동차공급망_편집
E0021,Wieland Werke,Supplier,공급업체,자동차공급망_편집
E0022,Heraeus,Supplier,공급업체,자동차공급망_편집
E0023,H.C. Starck,Supplier,공급업체,자동차공급망_편집
E0024,alpha assembly solutions,Supplier,공급업체,자동차공급망_편집
E0025,Denso,Supplier,공급업체,자동차공급망_편집
E0026,KYB,Supplier,공급업체,자동차공급망_편집
E0027,Aichi steel,Supplier,공급업체,자동차공급망_편집
E0028,Sumitomo metal mining,Supplier,공급업체,자동차공급망_편집
E0029,senju metal industry,Supplier,공급업체,자동차공급망_편집
E0030,murata,Supplier,공급업체,자동차공급망_편집
E0031,Tanaka kikinzoku,Supplier,공급업체,자동차공급망_편집
E0032,ALMT,Supplier,공급업체,자동차공급망_편집
E0033,Nippon steel,Supplier,공급업체,자동차공급망_편집
E0034,JFE steel,Supplier,공급업체,자동차공급망_편집
E0035,Chuo spring,Supplier,공급업체,자동차공급망_편집
E0036,Ficosa,Supplier,공급업체,자동차공급망_편집
E0037,Grupo Antolin,Supplier,공급업체,자동차공급망_편집
E0038,heraeus electronics,Supplier,공급업체,자동차공급망_편집
E0039,Autoliv,Supplier,공급업체,자동차공급망_편집
E0040,현대모비스,Supplier,공급업체,자동차공급망_편집
E0041,현대모비스(모트라스),Supplier,공급업체,자동차공급망_편집
E0042,현대모비스(유니투스),Supplier,공급업체,자동차공급망_편집
E0043,현대위아,Supplier,공급업체,자동차공급망_편집
E0044,HL만도,Supplier,공급업체,자동차공급망_편집
E0045,HL만도(HL클레무브),Supplier,공급업체,자동차공급망_편집
E0046,HL만도(HL만도브로제),Supplier,공급업체,자동차공급망_편집
E0047,현대트랜시스,Supplier,공급업체,자동차공급망_편집
E0048,현대트랜시스(현대엠시트),Supplier,공급업체,자동차공급망_편집
E0049,현대케피코,Supplier,공급업체,자동차공급망_편집
E0050,성우하이텍,Supplier,공급업체,자동차공급망_편집
E0051,덕양산업,Supplier,공급업체,자동차공급망_편집
E0052,유라코퍼레이션,Supplier,공급업체,자동차공급망_편집
E0053,경신,Supplier,공급업체,자동차공급망_편집
E0054,평화바레오,Supplier,공급업체,자동차공급망_편집
E0055,서진산업,Supplier,공급업체,자동차공급망_편집
E0056,화신,Supplier,공급업체,자동차공급망_편집
E0057,에스엘,Supplier,공급업체,자동차공급망_편집
E0058,피에이치에이,Supplier,공급업체,자동차공급망_편집
E0059,지엠비코리아,Supplier,공급업체,자동차공급망_편집
E0060,비테스코테크놀로지스,Supplier,공급업체,자동차공급망_편집
E0061,발레오전장시스템코리아,Supplier,공급업체,자동차공급망_편집
E0062,카펙발레오,Supplier,공급업체,자동차공급망_편집
E0063,다스,Supplier,공급업체,자동차공급망_편집
E0064,대원산업,Supplier,공급업체,자동차공급망_편집
E0065,한온시스템,Supplier,공급업체,자동차공급망_편집
E0066,모베이시스전자,Supplier,공급업체,자동차공급망_편집
E0067,삼성전기,Supplier,공급업체,자동차공급망_편집
E0068,DB메탈,Supplier,공급업체,자동차공급망_편집
E0069,SIMPACK,Supplier,공급업체,자동차공급망_편집
E0070,세아베스틸,Supplier,공급업체,자동차공급망_편집
E0071,현대제철,Supplier,공급업체,자동차공급망_편집
E0072,창성,Supplier,공급업체,자동차공급망_편집
E0073,풍산,Supplier,공급업체,자동차공급망_편집
E0074,대창,Supplier,공급업체,자동차공급망_편집
E0075,대진인더스,Supplier,공급업체,자동차공급망_편집
E0076,LS전선,Supplier,공급업체,자동차공급망_편집
E0077,알파코리아,Supplier,공급업체,자동차공급망_편집
E0078,대원전선,Supplier,공급업체,자동차공급망_편집
E0079,엠케이전자,Supplier,공급업체,자동차공급망_편집
E0080,한국분말야금,Supplier,공급업체,자동차공급망_편집
E0081,세아특수강,Supplier,공급업체,자동차공급망_편집
E0082,카스테레오,Product,공급업체 납품 부품,자동차공급망_편집
E0083,블루투스 카스테레오,Product,공급업체 납품 부품,자동차공급망_편집
E0084,CDS 수신기,Product,공급업체 납품 부품,자동차공급망_편집
E0085,에어컨,Product,공급업체 납품 부품,자동차공급망_편집
E0086,에어필터,Product,공급업체 납품 부품,자동차공급망_편집
E0087,와이어링 하니스,Product,공급업체 납품 부품,자동차공급망_편집
E0088,에어백,Product,공급업체 납품 부품,자동차공급망_편집
E0089,에어백 모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0090,차륜,Product,공급업체 납품 부품,자동차공급망_편집
E0091,바퀴축,Product,공급업체 납품 부품,자동차공급망_편집
E0092,구동차축,Product,공급업체 납품 부품,자동차공급망_편집
E0093,액슬,Product,공급업체 납품 부품,자동차공급망_편집
E0094,등속조인트,Product,공급업체 납품 부품,자동차공급망_편집
E0095,동력전달장치,Product,공급업체 납품 부품,자동차공급망_편집
E0096,변속기,Product,공급업체 납품 부품,자동차공급망_편집
E0097,엔진 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0098,크랭크 샤프트,Product,공급업체 납품 부품,자동차공급망_편집
E0099,클러치,Product,공급업체 납품 부품,자동차공급망_편집
E0100,시동모터,Product,공급업체 납품 부품,자동차공급망_편집
E0101,교류발전기,Product,공급업체 납품 부품,자동차공급망_편집
E0102,조향장치,Product,공급업체 납품 부품,자동차공급망_편집
E0103,현가장치,Product,공급업체 납품 부품,자동차공급망_편집
E0104,서스펜션,Product,공급업체 납품 부품,자동차공급망_편집
E0105,제동장치,Product,공급업체 납품 부품,자동차공급망_편집
E0106,브레이크,Product,공급업체 납품 부품,자동차공급망_편집
E0107,브레이크 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0108,브레이크 부스터,Product,공급업체 납품 부품,자동차공급망_편집
E0109,섀시,Product,공급업체 납품 부품,자동차공급망_편집
E0110,섀시모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0111,콕핏모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0112,프런트엔드모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0113,자동차 모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0114,타이어모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0115,차체용 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0116,범퍼,Product,공급업체 납품 부품,자동차공급망_편집
E0117,도어 트림,Product,공급업체 납품 부품,자동차공급망_편집
E0118,운전석 모듈,Product,공급업체 납품 부품,자동차공급망_편집
E0119,차량용 도어 개폐장치,Product,공급업체 납품 부품,자동차공급망_편집
E0120,미러,Product,공급업체 납품 부품,자동차공급망_편집
E0121,램프,Product,공급업체 납품 부품,자동차공급망_편집
E0122,라디에이터,Product,공급업체 납품 부품,자동차공급망_편집
E0123,자동차 열관리 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0124,시트,Product,공급업체 납품 부품,자동차공급망_편집
E0125,시트 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0126,안전벨트,Product,공급업체 납품 부품,자동차공급망_편집
E0127,경보기,Product,공급업체 납품 부품,자동차공급망_편집
E0128,스마트키,Product,공급업체 납품 부품,자동차공급망_편집
E0129,전자제어 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0130,자율주행 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0131,전동화 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0132,전력변환 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0133,구동 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0134,배터리 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0135,연료전지 시스템,Product,공급업체 납품 부품,자동차공급망_편집
E0136,A/S부품,Product,공급업체 납품 부품,자동차공급망_편집
E0137,순정 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0138,자동차용품,Product,공급업체 납품 부품,자동차공급망_편집
E0139,기타 차량 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0140,기타 승용차 부품,Product,공급업체 납품 부품,자동차공급망_편집
E0141,중국,Country,공급망 관련 국가,자동차공급망_편집
E0142,독일,Country,공급망 관련 국가,자동차공급망_편집
E0143,포르투갈,Country,공급망 관련 국가,자동차공급망_편집
E0144,일본,Country,공급망 관련 국가,자동차공급망_편집
E0145,스페인,Country,공급망 관련 국가,자동차공급망_편집
E0146,루마니아,Country,공급망 관련 국가,자동차공급망_편집
E0147,태국,Country,공급망 관련 국가,자동차공급망_편집
E0148,한국,Country,공급망 관련 국가,자동차공급망_편집
E0149,장쑤,Region,기업/공장위치 지역,자동차공급망_편집
E0150,충칭,Region,기업/공장위치 지역,자동차공급망_편집
E0151,산둥,Region,기업/공장위치 지역,자동차공급망_편집
E0152,상하이,Region,기업/공장위치 지역,자동차공급망_편집
E0153,옌타이,Region,기업/공장위치 지역,자동차공급망_편집
E0154,베이징,Region,기업/공장위치 지역,자동차공급망_편집
E0155,창춘,Region,기업/공장위치 지역,자동차공급망_편집
E0156,쑤저우,Region,기업/공장위치 지역,자동차공급망_편집
E0157,톈진,Region,기업/공장위치 지역,자동차공급망_편집
E0158,옌청,Region,기업/공장위치 지역,자동차공급망_편집
E0159,우시,Region,기업/공장위치 지역,자동차공급망_편집
E0160,창저우,Region,기업/공장위치 지역,자동차공급망_편집
E0161,칭다오,Region,기업/공장위치 지역,자동차공급망_편집
E0162,난징,Region,기업/공장위치 지역,자동차공급망_편집
E0163,광저우,Region,기업/공장위치 지역,자동차공급망_편집
E0164,하노이,Region,기업/공장위치 지역,자동차공급망_편집
E0165,쿤밍,Region,기업/공장위치 지역,자동차공급망_편집
E0166,난창,Region,기업/공장위치 지역,자동차공급망_편집
E0167,심천,Region,기업/공장위치 지역,자동차공급망_편집
E0168,소주,Region,기업/공장위치 지역,자동차공급망_편집
E0169,지린시,Region,기업/공장위치 지역,자동차공급망_편집
E0170,중웨이,Region,기업/공장위치 지역,자동차공급망_편집
E0171,샤먼,Region,기업/공장위치 지역,자동차공급망_편집
E0172,슈투트가르트,Region,기업/공장위치 지역,자동차공급망_편집
E0173,프리드리히스하펜,Region,기업/공장위치 지역,자동차공급망_편집
E0174,하노버,Region,기업/공장위치 지역,자동차공급망_편집
E0175,뒤스부르크,Region,기업/공장위치 지역,자동차공급망_편집
E0176,페클링겐,Region,기업/공장위치 지역,자동차공급망_편집
E0177,울름,Region,기업/공장위치 지역,자동차공급망_편집
E0178,Hanau,Region,기업/공장위치 지역,자동차공급망_편집
E0179,Évora,Region,기업/공장위치 지역,자동차공급망_편집
E0180,고슬라르,Region,기업/공장위치 지역,자동차공급망_편집
E0181,Langenfeld,Region,기업/공장위치 지역,자동차공급망_편집
E0182,아이치,Region,기업/공장위치 지역,자동차공급망_편집
E0183,기후,Region,기업/공장위치 지역,자동차공급망_편집
E0184,도카이시,Region,기업/공장위치 지역,자동차공급망_편집
E0185,니하마,Region,기업/공장위치 지역,자동차공급망_편집
E0186,이치노세키,Region,기업/공장위치 지역,자동차공급망_편집
E0187,고리야마시,Region,기업/공장위치 지역,자동차공급망_편집
E0188,기타큐슈,Region,기업/공장위치 지역,자동차공급망_편집
E0189,치바,Region,기업/공장위치 지역,자동차공급망_편집
E0190,후쿠야마,Region,기업/공장위치 지역,자동차공급망_편집
E0191,나고야,Region,기업/공장위치 지역,자동차공급망_편집
E0192,바르셀로나,Region,기업/공장위치 지역,자동차공급망_편집
E0193,부르고스,Region,기업/공장위치 지역,자동차공급망_편집
E0194,시비우,Region,기업/공장위치 지역,자동차공급망_편집
E0195,라용,Region,기업/공장위치 지역,자동차공급망_편집
E0196,울산,Region,기업/공장위치 지역,자동차공급망_편집
E0197,진천,Region,기업/공장위치 지역,자동차공급망_편집
E0198,창원,Region,기업/공장위치 지역,자동차공급망_편집
E0199,대구,Region,기업/공장위치 지역,자동차공급망_편집
E0200,아산,Region,기업/공장위치 지역,자동차공급망_편집
E0201,안양,Region,기업/공장위치 지역,자동차공급망_편집
E0202,화성,Region,기업/공장위치 지역,자동차공급망_편집
E0203,평택,Region,기업/공장위치 지역,자동차공급망_편집
E0204,천안,Region,기업/공장위치 지역,자동차공급망_편집
E0205,서산,Region,기업/공장위치 지역,자동차공급망_편집
E0206,광주,Region,기업/공장위치 지역,자동차공급망_편집
E0207,충주,Region,기업/공장위치 지역,자동차공급망_편집
E0208,김천,Region,기업/공장위치 지역,자동차공급망_편집
E0209,안산,Region,기업/공장위치 지역,자동차공급망_편집
E0210,원주,Region,기업/공장위치 지역,자동차공급망_편집
E0211,익산,Region,기업/공장위치 지역,자동차공급망_편집
E0212,인천,Region,기업/공장위치 지역,자동차공급망_편집
E0213,경주,Region,기업/공장위치 지역,자동차공급망_편집
